序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
1012,24MGX003H,心理学实验,Introduction of The Experiments in Psychology,公共选修课,,30/1.0,黄佳,心理研究所
1013,251M1001H,模式识别,Pattern Recognition,一级学科核心课,控制科学与工程,60/3.0,"向世明,刘成林",自动化研究所
1014,251M1002H,图像处理与分析,Digital Image Processing and Analysis,一级学科核心课,控制科学与工程,60/3.0,王伟强,计算技术研究所
1015,251M1004H,机器人学,Robotics,一级学科核心课,控制科学与工程,60/3.0,"徐德,邢登鹏",自动化研究所
1016,251M1005H,人工智能原理,Principle of Artificial Intelligence,一级学科核心课,控制科学与工程,57/3.0,"王文杰,史忠植",计算技术研究所
1017,251M1006H,现代控制理论,Modern Control Theory,一级学科核心课,控制科学与工程,60/3.0,"薛文超,程龙",数学与系统科学研究院
1018,251M5001H,模式识别导论,Fudamentals of Pattern Recognition,专业普及课,模式识别与智能系统,40/2.0,"向世明,樊彬",自动化研究所
1019,251M5006H,脑网络组学基础及应用,Brainnetome: from basic to application,专业普及课,模式识别与智能系统,40/2.0,"刘冰,蒋田仔",自动化研究所
1020,251M5009H,智能人机交互,Intelligent Human Computer Interaction,专业普及课,模式识别与智能系统,40/2.0,"范向民,田丰",软件研究所
1021,251M5010H,语音识别技术,Automatic speech recognition,专业普及课,模式识别与智能系统,40/2.0,"张鹏远,颜永红",声学研究所
1022,251M5011H,多媒体分析与理解,Multimedia Analysis and Understanding,专业普及课,模式识别与智能系统,40/2.0,"卢汉清,程健",自动化研究所
1023,251M5015H,智能传感与信息处理,Intelligent sensing and Information Processing,专业普及课,控制理论与控制工程,40/2.0,"何文浩,邹伟",自动化研究所
1024,251M5016H,机器人机构学,Robot Mechanism,专业普及课,控制理论与控制工程,40/2.0,"毕树生,张大朋",自动化研究所
1025,251M5017H,机器人系统设计,Design of Robot System,专业普及课,控制理论与控制工程,40/2.0,"杨国栋,景奉水",自动化研究所
1026,251M5024H,最优控制理论,Optimal Control,专业普及课,控制理论与控制工程,40/2.0,"张杰,王飞跃",自动化研究所
1027,251M5025H,智能控制,Intelligent Control,专业普及课,控制理论与控制工程,40/2.0,"赵冬斌,程龙",自动化研究所
1028,251M5026H,复杂系统与复杂网络,Complex Systems and Networks,专业普及课,控制理论与控制工程,40/2.0,"王大辉,韩战钢",其它
1029,251M6005H,高级认知功能脑机理,Brain Mechanism of High-level cognition,专业研讨课,模式识别与智能系统,20/1.0,张朋,生物物理研究所
1030,251M6006H,智能普适计算,Intelligent Ubiquitous Computing,专业研讨课,模式识别与智能系统,20/1.0,陈益强,计算技术研究所
1031,251M6017H,工业视觉检测,Industrial Machine Vision,专业研讨课,控制理论与控制工程,20/1.0,刘智勇,自动化研究所
1032,251M6019H,嵌入式系统,Embedded System,专业研讨课,控制理论与控制工程,20/1.0,赵军锁,软件研究所
1033,251M6022H,人工智能哲学与伦理,Philosophy and Ethics of Artificial Intelligence,专业研讨课,模式识别与智能系统,20/1.0,曾毅,自动化研究所
1034,261M4001H,纳米科学导论,Introduction to Nanoscience,专业核心课,纳米科学与技术,50/3.0,王琛,生物物理研究所
1035,261M4002H,纳米材料、结构物理特性,Characterization and Analysis of Nanotechnology,专业核心课,纳米科学与技术,50/3.0,"孙连峰,何军",国家纳米科学中心
1036,261M4004H,纳米生物学概论,General Principles of Nanobiology,专业核心课,纳米科学与技术,53/3.0,"方巧君,梁兴杰",国家纳米科学中心
1037,261M4006H,半导体纳米结构物理基础,Fundamentals of Physics for Nano-structural Semiconductors,专业核心课,纳米科学与技术,50/3.0,"江潮,何军",国家纳米科学中心
1038,261M4007H,纳米化学概论,The Introduction of Nanochemistry,专业核心课,纳米科学与技术,54/4.0,"韩宝航,杨延莲",生物物理研究所
1039,261M5003H,纳米发电机与自驱动系统概论,Nanogenerators and self-powered systems,专业普及课,纳米科学与技术,50/3.0,"王中林,唐伟",研究生院本部
1040,261M5006H,纳米光电子学/光子学,Nano Optoelectronics/photonics,专业普及课,纳米科学与技术,30/2.0,刘前,国家纳米科学中心
1041,261M5007H,纳米生物材料,Nanobiomaterials,专业普及课,纳米科学与技术,30/2.0,"杨蓉,张伟",国家纳米科学中心
1042,261M5008H,纳米生物界面的物理化学,Physical Chemistry at nano-bio interfaces,专业普及课,纳米科学与技术,30/2.0,"谢黎明,刘颖",国家纳米科学中心
1043,261M6002H,纳米药物递送前沿,Frontier of Nanomedicine and Drug Delivery,专业研讨课,纳米科学与技术,30/2.0,"高远,李乐乐",国家纳米科学中心
1044,261M6004H,纳米生物检测与成像,Nano-biological Detection and Bioimaging,专业研讨课,纳米科学与技术,30/2.0,"王磊,王浩",国家纳米科学中心
1045,27MGX001H,书法研修及应用,Calligraphy research and applications,公共选修课,,34/1.0,王渭田,研究生院本部
1046,27MGX002H,美术研修及应用,Art research with Applications,公共选修课,,34/1.0,徐铭,研究生院本部
1047,27MGX003H,民族器乐理论与实践,Theory and practice of national instrumental music,公共选修课,,40/1.0,陈碧荷,研究生院本部
1048,27MGX004H,音乐基础修养,Music-based self cultivation,公共选修课,,40/1.0,陈碧荷,研究生院本部
1049,27MGX005H,舞蹈鉴赏与体验,Dance Appreciation and Practice,公共选修课,,40/1.0,牛锡桐,研究生院本部
1050,27MGX006H,中国舞蹈基础,Chinese classical dance basic training,公共选修课,,40/1.0,牛锡桐,研究生院本部
1051,27MGX007H,西方美术鉴赏,Western art appreciation,公共选修课,,42/1.0,陈晓晶,研究生院本部
1052,281M1001H,应用光学,Applied Optics,一级学科核心课,光学工程,50/3.0,谭峭峰,清华大学
1053,281M1002H,高等物理光学,Advanced Physical Optics,一级学科核心课,光学工程,60/3.0,"史祎诗,樊仲维",光电学院
1054,281M1003H,非线性光学,Nonlinear Optics,一级学科核心课,光学工程,60/3.0,屈一至,光电学院
1055,281M1004H,光电子学,Optoelectronics,一级学科核心课,光学工程,54/3.0,"王兴军,周治平",北京大学
1056,281M2001H,高光谱遥感物理基础及传感器模型,Hyperspectral Remote Sensing Physics and Sensors,一级学科普及课,光学工程,40/2.0,"黄旻,张桂峰",光电研究院
1057,281M2004H,光电技术实验,Experiments of Optoelectronic Technology,实验课,,40/1.0,"史祎诗,余锦",光电学院
1058,281M2005H,光学传感实验I,Optical Sensor Experiment I,实验课,,60/1.5,董国艳,光电学院
1059,281M3002H,生医光电系统在臨床上的应用,Special Topics in Biophotonics System: Clinical Application of Medical Device,一级学科研讨课,光学工程,20/1.0,陈靖容,电子电气与通信工程学院
1060,281M5007H,高等光学实验,Experiments of Advanced Optics,实验课,,40/1.0,史祎诗,光电学院
1061,283M1001H,精密仪器设计,Precision Instrument Manufacturing,一级学科核心课,仪器科学与技术,54/3.0,"董登峰,周维虎",光电研究院
1062,283M4001H,传感器与信息测试技术,Sensor & Information Measurement Technology,专业核心课,仪器科学与技术,50/3.0,王雪,清华大学
1063,283M4004H,精密时间的产生与测量,Generation and Measurement of Accurate Time,专业核心课,仪器科学与技术,60/3.0,"袁海波,李孝辉",国家授时中心
1064,291M1001H,粒子加速器物理,Physics for accelerator of Storage Ring,一级学科核心课,,60/4.0,"秦庆,张源",高能物理研究所
1065,291M1002H,X射线晶体学（近代物理方向）,X-Ray Crystallography,一级学科核心课,核科学与技术物理学,60/4.0,"王焕华,董宇辉",高能物理研究所
1066,291M1003H,粒子加速器技术I,Technology of Particle Accelerator I,一级学科核心课,,50/3.0,"潘卫民,陈福三",高能物理研究所
1067,291M1004H,核物理实验方法,Experimental Methods for Nuclear and Particle Physics,一级学科核心课,核科学与技术,64/4.0,李智焕,其它
1068,291M1005H,中子散射,Neutron scattering,一级学科核心课,,60/4.0,"朱涛,王芳卫",物理研究所
1069,291M1006H,高等核反应堆物理分析,Advanced Nuclear Reactor Physics Analysis,一级学科核心课,,60/4.0,"杨永伟,顾龙",近代物理研究所
1070,291M2001H,核天体物理与激光核物理,Nuclear Astrophysics and Laser Nuclear Physics,一级学科普及课,,50/3.0,"李志宏,王宏伟",上海应用物理研究所
1071,291M2002H,重离子储存环物理,Heavy-ion Storage Ring Related Physics,一级学科普及课,,42/3.0,"张玉虎,原有进",近代物理研究所
1072,291M2004H,固体材料中粒子辐照效应,Particle Irradiation Effects in Solid Materials,一级学科普及课,,40/2.0,"贾学军,王志光",近代物理研究所
1073,291M2005H,自由电子激光物理与技术,Free Electron Laser Physics and Technologies,一级学科普及课,,40/3.0,"王东,刘波",上海应用物理研究所
1074,291M2007H,中子物理,Neutron Physics,一级学科普及课,,50/3.0,"梁天骄,殷雯",高能物理研究所
1075,291M2008H,肿瘤放射物理学,Introduction to Radiation Oncology Physics,一级学科普及课,,50/3.0,胡逸民,其它
1076,291M3002H,先进电子学和数据获取,Advanced Electronics and Data Acquisition,一级学科研讨课,,20/1.0,"章红宇,王焕玉",高能物理研究所
1077,301M4002H,化学反应工程,Chemical Reaction Engineering,专业核心课,化学工程,50/3.0,"张广积,冯鑫",过程工程研究所
1078,301M4003H,高等化工热力学,Advanced Chemical Engineering Thermodynamics,专业核心课,化学工艺,50/3.0,"李春山,吕兴梅",过程工程研究所
1079,301M4004H,传递过程原理,Principle of Transport Process,专业核心课,化学工艺,50/3.0,"何险峰,葛蔚",过程工程研究所
1080,301M4005H,生物过程工程,Bioprocess Engineering,专业核心课,生物化工,50/3.0,"邢建民,马光辉",过程工程研究所
1081,301M4009H,工业催化原理,The Principle of Industrial Catalysis,专业核心课,工业催化,50/3.0,李增喜,化学科学学院
1082,301M4011H,化工数学模型与方法,Modeling Methods in Chemical Engineering,专业核心课,化学工程,50/3.0,"李春山,王二强",化学科学学院
1083,301M5003H,网络化学化工资源,Chemistry and Chemical Engineering Resources,专业普及课,应用化学,40/2.0,李晓霞,过程工程研究所
1084,301M5004H,能源化学与化工,Energy Chemistry and Engineering,专业普及课,应用化学,48/3.0,"刘晓星,崔丽杰",化学科学学院
1085,301M5005H,催化反应工程,Catalytic Reaction Engineering （I）,专业普及课,工业催化,50/3.0,王垚,其它
1086,301M6001H,SOx，NOx及CO2的治理和利用,The Treatment and Useage of SOx，NOx and CO2,专业研讨课,化学工艺,20/1.0,李松庚,过程工程研究所
1087,"311M4302H	",高等土壤化学,Advanced Soil Chemistry,专业核心课,土壤学,56/3.0,"徐仁扣,徐明岗",其它
1088,"311M4303H	",土壤生物学,Soil Biology,专业核心课,土壤学,51/3.0,"陈保冬,褚海燕",生态环境研究中心
1089,"311M4304H	",环境土壤学,Environmental Soil Science,专业核心课,土壤学,60/4.0,"崔岩山,周东美",资源与环境学院
1090,"311M4306H	","农业生态学	",Agroecology,专业核心课,土壤学,51/4.0,"胡春胜,刘金铜",遗传与发育生物学研究所农业资源研究中心
1091,"311M4310H	",高等土壤——植物营养学,Advanced Soil-Plant Nutrition,专业核心课,植物营养学,60/4.0,"施卫明,胡正义",资源与环境学院
1092,"311M5308H	","土壤生态学	",Soil Ecology,专业普及课,土壤学,38/2.0,"王辉,董元华",南京土壤研究所
1093,312M1201H,多维组学,Multidimensional Omics,一级学科核心课,作物学,60/4.0,"汪迎春,王国栋",遗传与发育生物学研究所
1094,312M2203H,代谢调控：细胞、生理与进化,"Metabolic Regulation: Cell Biology, Physiology and Evolution",一级学科普及课,作物学,30/2.0,"黄勋,吴青峰",遗传与发育生物学研究所
1095,"312M4701H	","作物种质资源学	","Crop Germplasm Resources 				",专业核心课,作物遗传育种学,50/3.0,"冯献忠,方军",东北地理与农业生态研究所
1096,312M5212H,"高级微生物组学	","Advanced Microbiomics				",专业普及课,作物遗传育种学,50/3.0,"白洋,钱韦",微生物研究所
1097,312M5213H,"作物抗病育种	","Crop Disease Resistance Breeding				",专业普及课,作物遗传育种学,30/2.0,"邱金龙,刘志勇",遗传与发育生物学研究所
1098,312M6216H,"作物栽培新技术理论与实践研讨	","Theory and Practice of New Techniques for Crop Cultivation 				",专业研讨课,作物遗传育种学,20/2.0,刘小京,遗传与发育生物学研究所农业资源研究中心
1099,313M4601H,高级动物营养学,Advanced  Animal  Nutrition,专业核心课,动物营养与饲料科学,50/3.0,"李铁军,黄瑞林",亚热带农业生态研究所
1100,313M5602H,动物消化道健康与营养调控,Animal Digestive Tract Health and Nutritional Regulation,专业普及课,动物营养与饲料科学,30/2.0,"谭碧娥,周传社",亚热带农业生态研究所
1101,"314M4501H	","花色花香遗传育种学	","Genetics and Breeding of Flower Color and Fragrance				",专业核心课,园林植物与观赏园艺,50/3.0,"王亮生,徐文忠",植物研究所
1102,314M5504H,"植物与人类健康和社会发展	",Plants for  Human Health and Society Development,专业普及课,园林植物与观赏园艺,40/2.0,"王瑛,魏孝义",华南植物园
1103,315M4401H,"水产生物遗传育种学	","Genetics and Breeding in Aquaculture 				",专业核心课,水产养殖,60/4.0,"桂建芳,殷战",水生生物研究所
1104,"315M4402H	","水产动物病害防控与免疫学	","Prevention and Control of Aquatic Animal Diseases and Immunology				",专业核心课,水产养殖,60/4.0,"李爱华,昌鸣先",水生生物研究所
1105,"315M4403H			","水产养殖学	","Aquaculture				",专业核心课,水产养殖,60/4.0,"解绶启,王雷",海洋研究所
1106,"315M5404H	","鱼类分子遗传与基因工程育种	",Fish Molecular Genetics and Genetic Engineering for Breeding,专业普及课,水产养殖,40/2.0,"胡炜,朱作言",水生生物研究所
1107,"315M5406H	","水产生物发育生物学	","Developmental Biology of Fisheries Species				",专业普及课,水产养殖,40/2.0,"孙永华,崔宗斌",水生生物研究所
1108,"315M5407H	","水产动物摄食行为学 	","Feeding Behavior of Aquatic Animals				",专业普及课,水产养殖,40/2.0,"李勇,朱晓鸣",海洋研究所
1109,"315M5408H	","高级水生生物学	",Advanced Aquatic Biology,专业普及课,水产养殖,40/2.0,"缪炜,宋立荣",水生生物研究所
1110,"315M5418H	","鱼类分子细胞生物学	","Molecular Cell Biology of Fish				",专业普及课,渔业资源,40/2.0,"肖武汉,葛峰",水生生物研究所
1111,"315M6409H	","水产动物基因组学	",Aquatic Animal Genomics,专业研讨课,水产养殖,30/2.0,夏晓勤,水生生物研究所
1112,"315M6410H	","水产生物生理生化	",Aquatic Physiology and Biochemistry,专业研讨课,水产养殖,30/2.0,王广策,海洋研究所
1113,315M6413H,"水域生态系统数学分析方法	",Methods of Mathematical Analysis for Aquatic Ecosystem,专业研讨课,水产养殖,30/2.0,蔡庆华,水生生物研究所
1114,"315M6422H	","特色海水养殖学 	",Mariculture of Commercial Mollusc and Algae,专业研讨课,渔业资源,30/2.0,刘保忠,海洋研究所
1115,321M4001H,物理海洋学,Physical Oceanography,专业核心课,物理海洋学,51/3.0,"杨海军,管玉平",南海海洋研究所
1116,321M4004H,化学海洋学,Chemical Oceanography,专业核心课,海洋化学,60/4.0,"龙爱民,宋秀贤",海洋研究所
1117,321M4005H,生物有机化学,Bioorganic Chemistry,专业核心课,海洋化学,60/4.0,"史大永,鞠建华",海洋研究所
1118,321M4007H,海洋生物学,Marine Biology,专业核心课,海洋生物学,40/3.0,"谭烨辉,李新正",海洋研究所
1119,321M4008H,海洋生态学,Marine Ecology,专业核心课,海洋生物学,60/4.0,"李超伦,黄良民",南海海洋研究所
1120,321M4010H,海洋地质学,Marine Geology,专业核心课,海洋地质,60/4.0,"李铁刚,詹文欢",海洋研究所
1121,321M4011H,海洋地球物理探测,Marine Geophysics,专业核心课,海洋地质,78/5.0,"吴时国,张健",深海科学与工程研究所
1122,321M5003H,海洋化学检测/监测与研究方法,Marine Chemical Detection/Monitoring and Research Methods,专业普及课,海洋化学,30/2.0,"潘大为,李学刚",海洋研究所
1123,321M5008H,卫星海洋遥感与应用,Satellite Ocean Remote Sensing and Application,专业普及课,物理海洋学,36/2.0,"徐永生,张祥光",海洋研究所
1124,321M5009H,海洋腐蚀与防护技术,Marine Corrosion and Protection,专业普及课,海洋腐蚀与防护◆,40/2.5,"张盾,王秀通",海洋研究所
1125,321M6002H,海洋碳化学与全球变化,Ocean Carbon Chemistry and Global Change,专业研讨课,海洋化学,20/1.0,高学鲁,烟台海岸带研究所
1126,TYMGX001H-01,太极拳（男女混班）,TJQ,公共选修课,,32/0.5,陈功凡,人文学院
1127,TYMGX001H-02,太极拳（男女混班）,TJQ,公共选修课,,32/0.5,陈功凡,人文学院
1128,TYMGX002H-01,软式排球普修（男女混班）,PQ,公共选修课,,32/0.5,陈功凡,人文学院
1129,TYMGX002H-03,软式排球普修（男女混班）,PQ,公共选修课,,32/0.5,陈功凡,人文学院
1130,TYMGX003H,北欧行走与拓展（男女混班）,BT,公共选修课,,32/0.5,李广峰,人文学院
1131,TYMGX004H-01,男子篮球普修,LQ,公共选修课,,32/0.5,朱天宇,人文学院
1132,TYMGX004H-02,男子篮球普修,LQ,公共选修课,,32/0.5,朱天宇,人文学院
1133,TYMGX005H-01,男子健身,JS,公共选修课,,32/0.5,刘立勇,人文学院
1134,TYMGX005H-03,男子健身,JS,公共选修课,,32/0.5,刘立勇,人文学院
1135,TYMGX005H-04,男子健身,JS,公共选修课,,32/0.5,刘立勇,人文学院
1136,TYMGX006H-02,男子健身健美,JSJM,公共选修课,,30/0.5,唐晓义,人文学院
1137,TYMGX006H-04,男子健身健美,jsjm,公共选修课,,30/0.5,唐晓义,人文学院
1138,TYMGX007H-02,健身气功《八段锦、易筋经》（男女混班）,qg,公共选修课,,30/0.5,唐晓义,人文学院
1139,TYMGX008H,网球,WQ,公共选修课,,32/0.5,刘铁军,人文学院
1140,TYMGX009H,足球普修,ZQ,公共选修课,,32/0.5,刘铁军,人文学院
1141,TYMGX010H-01,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,黄淳甲,人文学院
1142,TYMGX010H-02,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,黄淳甲,人文学院
1143,TYMGX010H-03,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,黄淳甲,人文学院
1144,TYMGX010H-04,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,黄淳甲,人文学院
1145,TYMGX010H-05,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,于泽,其它
1146,TYMGX010H-06,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,于泽,其它
1147,TYMGX010H-07,羽毛球（男女混班）,YMQ,公共选修课,,32/0.5,于泽,其它
1148,TYMGX011H-01,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1149,TYMGX011H-02,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1150,TYMGX011H-03,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1151,TYMGX011H-04,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1152,TYMGX011H-05,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1153,TYMGX011H-06,乒乓球（男女混班）,PPQ,公共选修课,,32/0.5,杜雪玲,其它
1154,TYMGX013H-01,瑜伽（男女混班）,YJ,公共选修课,,32/0.5,万梨,其它
1155,TYMGX013H-02,瑜伽（男女混班）,YJ,公共选修课,,32/0.5,万梨,其它
1156,TYMGX013H-03,瑜伽（男女混班）,YJ,公共选修课,,32/0.5,万梨,其它
1157,TYMGX013H-04,瑜伽（男女混班）,YJ,公共选修课,,32/0.5,万梨,其它
1158,TYMGX013H-05,瑜伽（男女混班）,YJ,公共选修课,,32/0.5,陈新歌,其它
1159,TYMGX015H,女子自由泳,YY,公共选修课,,32/0.5,李广峰,人文学院
1160,TYMGX016H-01,男子自由泳,NZYY,公共选修课,,32/0.5,李广峰,人文学院
1161,TYMGX016H-02,男子自由泳,NZYY,公共选修课,,32/0.5,李广峰,人文学院
1162,TYMGX017H-01,女子蛙泳,WY,公共选修课,,32/0.5,樊菁,人文学院
1163,TYMGX017H-02,男子蛙泳,WY,公共选修课,,32/0.5,樊菁,人文学院
1164,TYMGX017H-03,女子蛙泳,WY,公共选修课,,32/0.5,樊菁,人文学院
1165,TYMGX017H-04,男子蛙泳,WY,公共选修课,,32/0.5,樊菁,人文学院
