序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
648,15DGB002H-S226,英语B-226班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
649,15DGB002H-S227,英语B-227班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Carl James Hutchinson,其它
650,15DGB002H-S228,英语B-228班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Lauren David,其它
651,15DGB002H-S232,英语B-232班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Tim Conboy,其它
652,15DGB002H-S243,英语B-243班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
653,15DGB002H-S244,英语B-244班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
654,15DGB002H-S245,英语B-245班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
655,15DGB002H-S246,英语B-246班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
656,15DGB002H-S249,英语B-249班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Lettice Wigby,外语系
657,15DGB002H-S251,英语B-251班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
658,15DGB002H-S253,英语B-253班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
659,15DGB002H-S254,英语B-254班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
660,15DGB002H-W19,英语B-19班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,孙迎晖,北京师范大学
661,15DGB002H-W20,英语B-20班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,孙迎晖,北京师范大学
662,15DGB002H-W201,英语B-201班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,冉继军,其它
663,15DGB002H-W202,英语B-202班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,冉继军,其它
664,15DGB002H-W205,英语B-205班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
665,15DGB002H-W206,英语B-206班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
666,15DGB002H-W211,英语B-211班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
667,15DGB002H-W212,英语B-212班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Tim Conboy,其它
668,15DGB002H-W215,英语B-215班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
669,15DGB002H-W217,英语B-217班（怀）-高级写作,PhD English,公共必修课,,36/1.0,冉继军,其它
670,15DGB002H-W219,英语B-219班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Hawkeye,研究生院本部
671,15DGB002H-W221,英语B-221班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
672,15DGB002H-W222,英语B-222班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
673,15DGB002H-W223,英语B-223班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
674,15DGB002H-W229,英语B-229班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Lauren David,其它
675,15DGB002H-W23,英语B-23班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
676,15DGB002H-W230,英语B-230班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
677,15DGB002H-W231,英语B-231班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
678,15DGB002H-W24,英语B-24班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
679,15DGB002H-W25,英语B-25班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
680,15DGB002H-W255,英语B-255班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
681,15DGB002H-W256,英语B-256班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
682,15DGB002H-W26,英语B-26班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
683,15DGB002H-W27,英语B-27班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,许宏晨,其它
684,15DGB002H-W28,英语B-28班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,许宏晨,其它
685,15DGB002H-W300,英语B-300班（怀）-英文科技论文写作,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
686,15DGB002H-W301,英语B-301班（怀）-英文科技论文写作,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
687,15DGB002H-W302,英语B-302班（怀）-英文科技论文写作,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
688,15DGB002H-W303,英语B-303班（怀）-英文科技论文写作,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
689,15DGB002H-W37,英语B-37班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
690,15DGB002H-W38,英语B-38班（怀）-高级写作,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
691,15DGB002H-W45,英语B-45班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
